% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 56.97    0.168258           5     35556           poll
 28.33    0.083662           1     88816     77779 recvmsg
 10.51    0.031044           3     10330           writev
  0.95    0.002810           1      2752           write
  0.86    0.002554           1      4539           clock_gettime
  0.83    0.002461           1      3708           futex
  0.44    0.001290           1      1780           read
  0.21    0.000635           3       203        45 openat
  0.19    0.000572           2       282        43 access
  0.16    0.000481           4       115           pread64
  0.11    0.000319         319         1           restart_syscall
  0.06    0.000182           4        51           munmap
  0.06    0.000178          15        12           unlink
  0.06    0.000174           3        54           mmap
  0.05    0.000150           1       158           close
  0.03    0.000101           1       150           fstat
  0.03    0.000090           6        15           clone
  0.03    0.000079           1        76         2 lstat
  0.02    0.000057          10         6           mprotect
  0.01    0.000043           0       410       321 stat
  0.01    0.000042           1        50        25 recvfrom
  0.01    0.000041           1        42        42 mkdir
  0.01    0.000036           0        88           lseek
  0.01    0.000030           0        84           getuid
  0.01    0.000017           1        12           pwrite64
  0.00    0.000014           1        14           fcntl
  0.00    0.000011           6         2           brk
  0.00    0.000007           1         8           uname
  0.00    0.000005           1         8           getpid
  0.00    0.000005           3         2           getrandom
  0.00    0.000004           1         6           chmod
  0.00    0.000003           1         4           shmget
  0.00    0.000002           1         4           shmat
  0.00    0.000000           0         4           shmctl
  0.00    0.000000           0         4           shmdt
  0.00    0.000000           0         6           fsync
  0.00    0.000000           0         4           getdents
  0.00    0.000000           0         4           rename
  0.00    0.000000           0         2           chown
  0.00    0.000000           0         2           fstatfs
  0.00    0.000000           0         2           fallocate
------ ----------- ----------- --------- --------- ----------------
100.00    0.295357                149366     78257 total
